Algeria,36.763056_3.050556
Russia-Komi,63.9881421_54.3326073
Russia-Krasnodar,45.039268_38.987221
Russia-Krasnoyarsk,56.015282_92.893250
Russia-Lipetskregion,52.612202_39.598122
Russia-Moscow,55.755825_37.617298
Russia-NNovgorod,56.326790_44.005989
Russia-Novgorod,58.522150_31.269180
Russia-NovosibirskOblast,55.008354_82.935730
Russia-Norilsk,69.3498394_88.200517
Russia-NenetsAutonomousOkrug,67.6783253_57.0626853
Russia-Omsk,54.988480_73.324234
Russia-PrimorskyKrai,43.184707_131.905582
Russia-Pskov,57.816700_28.334475
Russia-RepublicofKhakassia,53.717361_91.445160
Russia-Samara,53.241505_50.221245
Russia-Tuva,51.670284_94.414293
Russia-Teeli-Tuva,51.0110954_90.2043058
Russia-Tver,56.858723_35.917599
Russia-Vladimir,56.144596_40.417870
Russia-Voronezhregion,51.675495_39.208881
Russia-Zabaikalskykrai,52.051502_113.471191
Russia-Chukotka,64.7316875_177.5060925
Russia-Yakutia,66.941626_129.642371
Rwanda,-1.950932_30.063620
SaudiArabia,24.653008_46.757063
Serbia,44.815071_20.460480
Slovenia,46.069039_14.488839
Somalia,2.135248_45.312913
SouthAfrica,-26.207691_28.139777
SouthKorea,37.566679_126.978291
Spain-Ceuta,35.889385_-5.321345
Spain-Melilla,35.292278_-2.938097
Tajikistan,38.613436_68.829633
Tanzania,-6.797717_39.253321
Tunisia,36.820718_10.173972
Turkey,39.983855_32.815834
Uganda,0.290038_32.559947
UnitedArabEmirates,24.437148_54.463883
UnitedKingdom,51.507321_-0.127647
USA-Alaska,64.445961_-149.680909
USA-Arizona,33.328693_-112.251416
USA-Arkansas,34.746483_-92.289597
USA-California,34.041736_-118.220816
USA-Florida,30.327368_-81.661658
USA-Northcentral,42.966075_-96.316623
USA-Texas,30.319781_-97.719969
USA-Vermont,44.5990718_-72.5002608
USA-Montana,47.3752671_-109.6387579
USA-Altona-NY,44.888472_-73.655777
USA-SouthDakota,44.366787_-100.353752
USA-Minnesota,43.872841_-95.600182
USA-Massachusetts,42.360081_-71.058884
Zaire-Kinshasa,-4.441931_15.266293
Zambia,-15.312444_28.295119
Zimbabwe,-17.843995_31.060802
